Comment,Designator,Footprint,LCSC Part #
100u,C1,CP_Elec_6.3x7.7,C970685
0.1u,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C4,C5,C6,C7,C8,C9",C_0603_1608Metric,C14663
EJ503A,J1,MPD_EJ503A,
PWM,J2,PinSocket_1x10_P2.54mm_Vertical,
Power,J3,PinSocket_1x08_P2.54mm_Vertical,
Analog,"J4,J6",PinSocket_1x08_P2.54mm_Vertical,
PWM,J5,PinSocket_1x08_P2.54mm_Vertical,
Communication,J7,PinSocket_1x08_P2.54mm_Vertical,
Digital,J8,PinSocket_2x18_P2.54mm_Vertical,
10k,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R3,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C60490
TCA9548APWR,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C130026
LM324DRE4,"U10,U12,U14,U16,U18,U2,U20,U22,U24,U4,U6,U8",LM324DRE4-SOIC127P600X175-14N,C7943
SLG47004V,"U11,U13,U15,U17,U19,U21,U23,U25,U3,U5,U7,U9",SLG47004V-STQFN-24-3.0X3.0-A,C5754309
